City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
113,Ndioum,16.5129,-14.6471,112.89,8,4,12.15,SN,2021-06-06 16:28:30,clear sky
114,Tura,25.5198,90.2201,74.73,96,39,9.01,IN,2021-06-06 16:28:32,scattered clouds
115,Kodiak,57.79,-152.4072,53.11,50,1,19.57,US,2021-06-06 16:28:33,clear sky
116,Tiznit,29.5833,-9.5,82.44,37,46,8.77,MA,2021-06-06 16:28:34,scattered clouds
117,Provideniya,64.3833,-173.3,36.48,74,14,4.83,RU,2021-06-06 16:28:36,few clouds
118,Pakxe,15.1167,105.7833,76.26,94,97,4.63,LA,2021-06-06 16:28:37,overcast clouds
119,Bredasdorp,-34.5322,20.0403,63.72,36,11,6.49,ZA,2021-06-06 16:28:40,few clouds
120,Santa Isabel Do Rio Negro,-0.4139,-65.0192,90.95,49,47,4.99,BR,2021-06-06 16:28:41,scattered clouds
121,Husavik,66.0449,-17.3389,60.71,60,65,10.65,IS,2021-06-06 16:28:42,broken clouds
122,Longyearbyen,78.2186,15.6401,39.04,70,0,14.97,SJ,2021-06-06 16:28:44,clear sky
123,Iguape,-24.7081,-47.5553,72.18,83,100,12.17,BR,2021-06-06 16:28:45,overcast clouds
124,Elko,41.0002,-115.5012,64.63,29,71,7.0,US,2021-06-06 16:27:13,broken clouds
125,Primorsk,46.7348,36.3443,65.73,68,72,17.11,UA,2021-06-06 16:28:47,broken clouds
126,Hamilton,39.1834,-84.5333,83.59,81,90,5.88,US,2021-06-06 16:28:50,overcast clouds
127,Severo-Kurilsk,50.6789,156.125,40.44,96,91,12.26,RU,2021-06-06 16:28:51,overcast clouds
128,Hambantota,6.1241,81.1185,80.92,82,72,15.99,LK,2021-06-06 16:28:53,broken clouds
129,Yarada,17.65,83.2667,88.12,74,20,16.91,IN,2021-06-06 16:28:54,few clouds
130,Zlynka,52.4267,31.7378,65.98,87,100,6.62,RU,2021-06-06 16:28:55,light rain
131,Samarai,-10.6167,150.6667,77.74,90,100,17.36,PG,2021-06-06 16:28:57,overcast clouds
132,Fortuna,40.5982,-124.1573,57.42,69,1,7.0,US,2021-06-06 16:28:18,clear sky
133,Clyde River,70.4692,-68.5914,34.03,100,90,11.5,CA,2021-06-06 16:28:59,light intensity drizzle
134,Dingle,10.9995,122.6711,77.05,84,100,2.57,PH,2021-06-06 16:29:00,light rain
135,Kargat,55.1956,80.2811,57.9,83,50,8.9,RU,2021-06-06 16:29:02,scattered clouds
136,Nikolskoye,59.7035,30.7861,75.4,44,14,5.08,RU,2021-06-06 16:29:03,few clouds
137,Saint-Georges,12.0564,-61.7485,82.08,83,40,20.71,GD,2021-06-06 16:29:04,scattered clouds
138,Absam,47.3,11.5,65.39,65,75,3.0,AT,2021-06-06 16:29:06,broken clouds
139,Lagunas,-5.2269,-75.6753,79.45,82,99,0.38,PE,2021-06-06 16:29:07,overcast clouds
140,Vung Tau,10.346,107.0843,83.68,78,100,13.96,VN,2021-06-06 16:29:08,light rain
141,Kibungo,-2.1597,30.5427,70.72,72,68,2.51,RW,2021-06-06 16:29:10,broken clouds
142,Dinant,50.2584,4.9106,73.42,71,75,1.99,BE,2021-06-06 16:29:11,broken clouds
143,Utiel,39.5667,-1.2,72.54,31,35,4.36,ES,2021-06-06 16:29:12,scattered clouds
144,Zambezi,-13.5432,23.1047,67.35,41,89,4.92,ZM,2021-06-06 16:29:14,overcast clouds
145,Atuona,-9.8,-139.0333,79.16,66,68,11.12,PF,2021-06-06 16:29:15,broken clouds
146,Kashiwazaki,37.3667,138.55,63.88,75,100,3.29,JP,2021-06-06 16:29:16,overcast clouds
147,Arantangi,10.1667,78.9833,83.48,73,99,12.93,IN,2021-06-06 16:29:19,overcast clouds
148,Rio Gallegos,-51.6226,-69.2181,42.85,61,75,9.22,AR,2021-06-06 16:29:20,broken clouds
149,Ziyang,29.2497,117.8547,67.62,78,1,3.49,CN,2021-06-06 16:29:21,clear sky
150,Port-Gentil,-0.7193,8.7815,82.36,78,40,12.66,GA,2021-06-06 16:29:23,scattered clouds
151,Trapani,37.8333,12.6667,84.7,94,20,11.79,IT,2021-06-06 16:29:24,few clouds
152,Isangel,-19.55,169.2667,71.62,68,100,12.68,VU,2021-06-06 16:29:25,overcast clouds
153,Hasaki,35.7333,140.8333,66.49,90,100,4.9,JP,2021-06-06 16:29:27,overcast clouds
154,Nayoro,44.3506,142.4578,52.14,96,15,5.46,JP,2021-06-06 16:29:28,few clouds
155,Tessalit,20.1986,1.0114,109.36,7,34,20.98,ML,2021-06-06 16:29:29,scattered clouds
156,Voyvozh,62.892,54.9635,60.48,35,84,4.25,RU,2021-06-06 16:29:31,broken clouds
157,Grand Gaube,-20.0064,57.6608,73.8,83,52,1.99,MU,2021-06-06 16:29:32,broken clouds
158,Alice Springs,-23.7,133.8833,42.35,65,0,5.48,AU,2021-06-06 16:29:33,clear sky
159,Khani,41.9563,42.9566,53.17,99,100,3.65,GE,2021-06-06 16:29:35,overcast clouds
160,Cascais,38.6979,-9.4215,78.66,54,20,5.99,PT,2021-06-06 16:26:49,few clouds
161,Olga,43.7444,135.2892,52.39,93,0,6.2,RU,2021-06-06 16:29:37,clear sky
162,General Roca,-39.0333,-67.5833,54.0,38,51,19.62,AR,2021-06-06 16:29:40,broken clouds
163,Kiama,-34.6833,150.8667,54.25,78,4,7.47,AU,2021-06-06 16:29:41,clear sky
164,San Patricio,28.017,-97.5169,88.21,67,1,12.01,US,2021-06-06 16:29:42,clear sky
165,Sangar,63.9242,127.4739,50.77,41,100,2.19,RU,2021-06-06 16:29:45,overcast clouds
166,Callaway,30.153,-85.5699,88.0,69,40,4.0,US,2021-06-06 16:29:47,scattered clouds
167,Aksarka,66.5606,67.7975,42.87,47,77,11.34,RU,2021-06-06 16:29:49,broken clouds
168,Dikson,73.5069,80.5464,30.72,88,100,11.79,RU,2021-06-06 16:29:50,overcast clouds
169,Bantogon,6.5333,124.0333,80.08,72,100,3.6,PH,2021-06-06 16:29:51,overcast clouds
170,Tenenkou,14.4572,-4.9169,106.77,16,5,6.64,ML,2021-06-06 16:29:53,clear sky
171,Labuan,5.2767,115.2417,80.96,94,20,0.0,MY,2021-06-06 16:29:54,few clouds
172,Bubaque,11.2833,-15.8333,80.1,82,8,10.98,GW,2021-06-06 16:29:55,clear sky
173,Xinzhi,36.4989,111.7047,85.73,18,100,6.87,CN,2021-06-06 16:29:57,light rain
174,Deputatskiy,69.3,139.9,33.04,83,33,2.82,RU,2021-06-06 16:29:58,scattered clouds
175,Oussouye,12.485,-16.5469,91.58,54,42,12.15,SN,2021-06-06 16:29:59,scattered clouds
176,Matamoros,25.5333,-103.25,89.71,21,1,8.55,MX,2021-06-06 16:27:55,clear sky
177,Sao Joao Da Barra,-21.6403,-41.0511,82.49,72,16,13.85,BR,2021-06-06 16:30:03,few clouds
178,Petrokamenskoye,57.716,60.6484,60.84,58,21,6.26,RU,2021-06-06 16:30:04,few clouds
179,Kavieng,-2.5744,150.7967,81.59,74,93,2.57,PG,2021-06-06 16:30:06,light rain
180,Oga,46.4631,10.347,59.68,80,90,4.32,IT,2021-06-06 16:30:07,overcast clouds
181,Eureka,40.8021,-124.1637,57.67,76,40,8.01,US,2021-06-06 16:27:05,scattered clouds
182,Bereda,43.2686,-7.5406,67.41,70,92,7.4,ES,2021-06-06 16:30:09,overcast clouds
183,Naze,28.3667,129.4833,68.47,92,100,2.57,JP,2021-06-06 16:30:11,light rain
184,Amarante Do Maranhao,-5.5667,-46.7422,89.96,39,11,6.4,BR,2021-06-06 16:30:12,few clouds
185,Port Hawkesbury,45.6169,-61.3485,69.06,79,1,8.99,CA,2021-06-06 16:30:14,clear sky
186,Ostrovnoy,68.0531,39.5131,42.26,72,21,12.3,RU,2021-06-06 16:30:15,few clouds
187,Saint George,37.1041,-113.5841,95.47,14,1,1.99,US,2021-06-06 16:30:16,clear sky
188,Sibu,2.3,111.8167,75.51,100,40,1.99,MY,2021-06-06 16:30:19,scattered clouds
189,Fokino,42.9836,132.4047,52.83,75,2,3.22,RU,2021-06-06 16:30:20,clear sky
190,Kavaratti,10.5669,72.642,82.94,75,100,10.4,IN,2021-06-06 16:30:22,overcast clouds
191,Giyon,8.5333,37.9833,63.77,76,91,4.43,ET,2021-06-06 16:30:23,light rain
192,Urengoy,65.9667,78.3667,37.35,71,100,7.56,RU,2021-06-06 16:30:25,overcast clouds
