City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Pontal Do Parana,BR,83.21,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
459,San Quintin,MX,75.43,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
462,Veraval,IN,85.35,clear sky,20.9,70.3667,Lords Inn Somnath
468,Palauig,PH,81.55,overcast clouds,15.435,119.9045,Myhousebythesea
469,Mtwara,TZ,76.33,few clouds,-10.2667,40.1833,Til Hotels
475,Carutapera,BR,84.15,few clouds,-1.195,-46.02,Lidera
478,Sorong,ID,78.8,overcast clouds,-0.8833,131.25,waigo splash hotel
481,Chatra,IN,84.18,clear sky,24.2167,84.8667,Shubhra Lodge
485,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
488,Redondela,ES,83.61,clear sky,42.2834,-8.6096,Hotel Santo Apóstolo
490,Miramar,US,89.02,scattered clouds,25.9873,-80.2323,Miramar
495,Sola,VU,79.43,scattered clouds,-13.8833,167.55,Leumerus Bungalows
496,Caravelas,BR,80.15,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
497,Itabera,BR,80.06,overcast clouds,-23.8619,-49.1372,Rancho das Pedras Hotel
502,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel
504,Luwuk,ID,76.19,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
509,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
514,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
520,Tarangnan,PH,79.21,overcast clouds,11.9009,124.7459,Rainbow Resort (Pools and Recreation)
522,Padang,ID,76.71,overcast clouds,-0.9492,100.3543,Mercure Padang
524,Ayia Galini,GR,79.75,clear sky,35.1,24.6833,Sunningdale Bungalows
525,Bandarbeyla,SO,81.09,clear sky,9.4942,50.8122,JABIR HOTEL
